+--------+------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                            |
+--------+------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   en   | activemodel.format                                                           | %{attribute} %{message}                                                                                                                                                                                                                                                                                                                                          |
|   en   | activemodel.messages.accepted                                                | must be agreed to                                                                                                                                                                                                                                                                                                                                                |
|   en   | activemodel.messages.blank                                                   | must be present (may not be blank)                                                                                                                                                                                                                                                                                                                               |
|   en   | activemodel.messages.confirmation                                            | does not match confirmation                                                                                                                                                                                                                                                                                                                                      |
|   en   | activemodel.messages.empty                                                   | may not be empty                                                                                                                                                                                                                                                                                                                                                 |
|   en   | activemodel.messages.equal_to                                                | must equal %{count}                                                                                                                                                                                                                                                                                                                                              |
|   en   | activemodel.messages.even                                                    | must be even                                                                                                                                                                                                                                                                                                                                                     |
|   en   | activemodel.messages.exclusion                                               | is reserved (taken)                                                                                                                                                                                                                                                                                                                                              |
|   en   | activemodel.messages.greater_than                                            | must be greather than %{count}                                                                                                                                                                                                                                                                                                                                   |
|   en   | activemodel.messages.greater_than_or_equal_to                                | must be greather than or equal to %{count}                                                                                                                                                                                                                                                                                                                       |
|   en   | activemodel.messages.inclusion                                               | is not included in the list                                                                                                                                                                                                                                                                                                                                      |
|   en   | activemodel.messages.invalid                                                 | is invalid                                                                                                                                                                                                                                                                                                                                                       |
|   en   | activemodel.messages.less_than                                               | must be less than %{count}                                                                                                                                                                                                                                                                                                                                       |
|   en   | activemodel.messages.less_than_or_equal_to                                   | must be less than or equal to %{count}                                                                                                                                                                                                                                                                                                                           |
|   en   | activemodel.messages.not_a_number                                            | is not a number                                                                                                                                                                                                                                                                                                                                                  |
|   en   | activemodel.messages.not_an_integer                                          | must be an integer                                                                                                                                                                                                                                                                                                                                               |
|   en   | activemodel.messages.odd                                                     | must be an odd number                                                                                                                                                                                                                                                                                                                                            |
|   en   | activemodel.messages.record_invalid                                          | The validation failed: %{errors}                                                                                                                                                                                                                                                                                                                                 |
|   en   | activemodel.messages.taken                                                   | is not available (since this data is already in the system)                                                                                                                                                                                                                                                                                                      |
|   en   | activemodel.messages.too_long                                                | is too long (there is a %{count} character limit)                                                                                                                                                                                                                                                                                                                |
|   en   | activemodel.messages.too_short                                               | is too short (there must be %{count} characters at least)                                                                                                                                                                                                                                                                                                        |
|   en   | activemodel.messages.wrong_length                                            | wrong length (it must be %{count} characters long)                                                                                                                                                                                                                                                                                                               |
|   en   | activemodel.template.body                                                    | Please check the following fields:                                                                                                                                                                                                                                                                                                                               |
|   en   | activemodel.template.header.one                                              | Unable to save %{model} due to an error:                                                                                                                                                                                                                                                                                                                         |
|   en   | activemodel.template.header.other                                            | Unable to save %{model}: due to %{count} errors                                                                                                                                                                                                                                                                                                                  |
|   en   | activerecord.errors.messages.inclusion                                       | : field may not be added this way.  Try to set (mark, click) or unmark it, in case it is a boolean ('yes or no').  It may also happen that there are multiple options checked but only one allowed.  It could also be a logic conflict with another field, which would have to be filled with the correct value, or perhaps removed, according to the situation. |
|   en   | activerecord.errors.pap1form.attributes.num_volumes.present                  | may not be entered when the field "library" is not marked.                                                                                                                                                                                                                                                                                                       |
|   en   | activerecord.errors.pap1form.attributes.outros_equipamentos.present          | may not be entered when the option "has other equipment?" is not marked.                                                                                                                                                                                                                                                                                         |
