+--------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                        |
+--------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   en   | activemodel.format                                                           | %{attribute} %{message}                                                                                                                                                                                                                                                                                                                                      |
|   en   | activemodel.messages.accepted                                                | tem de ser aceite                                                                                                                                                                                                                                                                                                                                            |
|   en   | activemodel.messages.blank                                                   | tem que constar                                                                                                                                                                                                                                                                                                                                              |
|   en   | activemodel.messages.confirmation                                            | não coincide com a confirmação                                                                                                                                                                                                                                                                                                                               |
|   en   | activemodel.messages.empty                                                   | não pode estar vazio                                                                                                                                                                                                                                                                                                                                         |
|   en   | activemodel.messages.equal_to                                                | tem de ser igual a %{count}                                                                                                                                                                                                                                                                                                                                  |
|   en   | activemodel.messages.even                                                    | tem de ser par                                                                                                                                                                                                                                                                                                                                               |
|   en   | activemodel.messages.exclusion                                               | é reservado                                                                                                                                                                                                                                                                                                                                                  |
|   en   | activemodel.messages.greater_than                                            | tem de ser maior que %{count}                                                                                                                                                                                                                                                                                                                                |
|   en   | activemodel.messages.greater_than_or_equal_to                                | tem de ser maior ou igual a %{count}                                                                                                                                                                                                                                                                                                                         |
|   en   | activemodel.messages.inclusion                                               | não está incluído na lista                                                                                                                                                                                                                                                                                                                                   |
|   en   | activemodel.messages.invalid                                                 | é inválido                                                                                                                                                                                                                                                                                                                                                   |
|   en   | activemodel.messages.less_than                                               | tem de ser menor que %{count}                                                                                                                                                                                                                                                                                                                                |
|   en   | activemodel.messages.less_than_or_equal_to                                   | tem de ser menor ou igual a %{count}                                                                                                                                                                                                                                                                                                                         |
|   en   | activemodel.messages.not_a_number                                            | não é um numeral                                                                                                                                                                                                                                                                                                                                             |
|   en   | activemodel.messages.not_an_integer                                          | tem de ser um inteiro                                                                                                                                                                                                                                                                                                                                        |
|   en   | activemodel.messages.odd                                                     | tem de ser ímpar                                                                                                                                                                                                                                                                                                                                             |
|   en   | activemodel.messages.record_invalid                                          | A validação falhou: %{errors}                                                                                                                                                                                                                                                                                                                                |
|   en   | activemodel.messages.taken                                                   | não está disponível (pois este dado já consta do sistema)                                                                                                                                                                                                                                                                                                    |
|   en   | activemodel.messages.too_long                                                | é demasiado grande (o máximo é de %{count} caracteres)                                                                                                                                                                                                                                                                                                       |
|   en   | activemodel.messages.too_short                                               | é demasiado pequeno (o mínimo é de %{count} caracteres)                                                                                                                                                                                                                                                                                                      |
|   en   | activemodel.messages.wrong_length                                            | comprimento errado (deve ter %{count} caracteres)                                                                                                                                                                                                                                                                                                            |
|   en   | activemodel.template.body                                                    | Por favor, verifique os seguintes campos:                                                                                                                                                                                                                                                                                                                    |
|   en   | activemodel.template.header.one                                              | Não foi possível guardar %{model}: 1 erro                                                                                                                                                                                                                                                                                                                    |
|   en   | activemodel.template.header.other                                            | Não foi possível guardar %{model}: %{count} erros                                                                                                                                                                                                                                                                                                            |
|   en   | activerecord.errors.messages.inclusion                                       | : campo não pode ser incluído da forma indicada.  Tente marcá-lo ou desmarcá-lo, caso seja booleano ('sim ou não').  Também é possível que existam múltiplas opções assinaladas onde somente uma é permitida.  Pode ser também um conflito de lógica com outro campo, que precisaria ser preenchido com um valor válido ou excluído, dependendo da situação. |
|   en   | activerecord.errors.pap1form.attributes.num_volumes.present                  | não pode ser informado se o campo "biblioteca" estiver desmarcado.                                                                                                                                                                                                                                                                                           |
