+--------+---------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                               | Value in other locales or source                                                                                                                                                                                           |
+--------+---------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   en   | active.f                                          | pt_BR ativa                                                                                                                                                                                                                |
|   en   | active.m                                          | pt_BR ativo                                                                                                                                                                                                                |
|   en   | activerecord.models.band                          | pt_BR Banda                                                                                                                                                                                                                |
|   en   | activerecord.models.bbpayment                     | pt_BR pagamento bb                                                                                                                                                                                                         |
|   en   | activerecord.models.mesoregion                    | pt_BR mesoregião                                                                                                                                                                                                           |
|   en   | activerecord.models.project                       | pt_BR projeto                                                                                                                                                                                                              |
|   en   | annotate                                          | pt_BR Anotar                                                                                                                                                                                                               |
|   en   | annotated.f                                       | pt_BR anotada                                                                                                                                                                                                              |
|   en   | annotated.m                                       | pt_BR anotado                                                                                                                                                                                                              |
|   en   | annotated.pl                                      | pt_BR anotados                                                                                                                                                                                                             |
|   en   | another.f                                         | pt_BR outra                                                                                                                                                                                                                |
|   en   | another.m                                         | pt_BR outro                                                                                                                                                                                                                |
|   en   | belongs.medres                                    | pt_BR Pertence à Residência Médica                                                                                                                                                                                         |
|   en   | belongs.pap                                       | pt_BR Pertence ao Pap                                                                                                                                                                                                      |
|   en   | calculated.f                                      | pt_BR calculada                                                                                                                                                                                                            |
|   en   | calculated.m                                      | pt_BR calculado                                                                                                                                                                                                            |
|   en   | calculated.pl                                     | pt_BR calculados                                                                                                                                                                                                           |
|   en   | cancelled.f                                       | pt_BR cancelada                                                                                                                                                                                                            |
|   en   | cancelled.m                                       | pt_BR cancelado                                                                                                                                                                                                            |
|   en   | confirm.bankfile                                  | pt_BR Aviso: o procedimento de geração do arquivo bancário pode levar algum tempo (mais de um minuto) para ser concluído, dependendo do número de bolsistas e da velocidade do servidor.  Isto é normal.  Posso continuar? |
|   en   | confirm.delete                                    | pt_BR Você tem certeza que deseja remover?                                                                                                                                                                                 |
|   en   | confirm.visit_external_site                       | pt_BR Você irá visitar um site externo.  Tem certeza ?                                                                                                                                                                     |
|   en   | confirmed.f                                       | pt_BR confirmada                                                                                                                                                                                                           |
|   en   | confirmed.m                                       | pt_BR confirmado                                                                                                                                                                                                           |
|   en   | created.f                                         | pt_BR criada                                                                                                                                                                                                               |
|   en   | created.m                                         | pt_BR criado                                                                                                                                                                                                               |
|   en   | date.abbr_day_names                               | pt_BR ["Dom", "Seg", "Ter", "Qua", "Qui", "Sex", "Sáb"]                                                                                                                                                                    |
|   en   | date.abbr_month_names                             | pt_BR [nil, "Jan", "Fev", "Mar", "Abr", "Mai", "Jun", "Jul", "Ago", "Set", "Out", "Nov", "Dez"]                                                                                                                            |
|   en   | date.day_names                                    | pt_BR ["Domingo", "Segunda-feira", "Terça-feira", "Quarta-feira", "Quinta-feira", "Sexta-feira", "Sábado"]                                                                                                                 |
|   en   | date.month_names                                  | pt_BR [nil, "Janeiro", "Fevereiro", "Março", "Abril", "Maio", "Junho", "Julho", "Agosto", "Setembro", "Outubro", "Novembro", "Dezembro"]                                                                                   |
|   en   | deannotated.f                                     | pt_BR desanotada                                                                                                                                                                                                           |
|   en   | deannotated.m                                     | pt_BR desanotado                                                                                                                                                                                                           |
|   en   | deleted.f                                         | pt_BR removida                                                                                                                                                                                                             |
|   en   | deleted.m                                         | pt_BR removido                                                                                                                                                                                                             |
|   en   | done.f                                            | pt_BR concluída                                                                                                                                                                                                            |
|   en   | done.m                                            | pt_BR concluído                                                                                                                                                                                                            |
|   en   | excluded.f                                        | pt_BR excluída                                                                                                                                                                                                             |
|   en   | excluded.m                                        | pt_BR excluído                                                                                                                                                                                                             |
|   en   | excluded.pl                                       | pt_BR excluídos                                                                                                                                                                                                            |
|   en   | found.f                                           | pt_BR encontrada                                                                                                                                                                                                           |
|   en   | found.m                                           | pt_BR encontrado                                                                                                                                                                                                           |
|   en   | fullname.gradcert                                 | pt_BR Programa de Especialização                                                                                                                                                                                           |
|   en   | fullname.medres                                   | pt_BR Programa de Residência Médica                                                                                                                                                                                        |
|   en   | fullname.pap                                      | pt_BR Programa de Aprimoramento Profissional                                                                                                                                                                               |
|   en   | gender.F                                          | pt_BR Feminino                                                                                                                                                                                                             |
|   en   | gender.M                                          | pt_BR Masculino                                                                                                                                                                                                            |
